               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11802,            0.027999,            0.031923,          0.00085648,                0.15,          0.00049076,          8.9185e-05,             0.11146,            0.019765,            0.030057,             0.00019,             0.00019,             0.09829
                   1,             0.10267,            0.025906,            0.028729,            0.002473,                0.15,           0.0012844,           0.0003058,            0.089909,            0.017555,            0.026281,          0.00038871,          0.00038871,            0.096489
                   2,            0.091355,            0.025432,            0.024695,            0.072105,                0.15,            0.034323,           0.0050964,            0.074892,            0.016351,            0.023392,          0.00058611,          0.00058611,            0.094686
                   3,             0.08009,            0.025197,            0.020942,             0.64863,                 0.2,             0.17264,            0.072013,            0.064611,            0.015416,            0.017742,          0.00078218,          0.00078218,            0.092882
                   4,            0.069883,            0.025052,            0.016291,             0.34817,             0.38333,             0.41098,             0.14318,            0.057169,            0.014166,            0.013766,          0.00097693,          0.00097693,            0.091077
                   5,            0.061986,            0.024735,            0.011851,             0.29304,             0.86667,             0.55287,             0.23373,             0.05078,            0.012816,           0.0074276,           0.0011704,           0.0011704,             0.08927
                   6,            0.057258,            0.021575,           0.0079823,             0.50009,             0.78333,             0.70664,             0.24432,            0.047242,            0.011134,           0.0044144,           0.0013625,           0.0013625,            0.087462
                   7,            0.056152,            0.017801,           0.0058563,             0.61751,              0.9471,             0.85489,              0.3968,            0.048338,           0.0093379,           0.0033757,           0.0015533,           0.0015533,            0.085653
                   8,            0.061992,            0.016193,           0.0045958,             0.47045,              0.8649,             0.62402,             0.28314,            0.056097,           0.0088295,           0.0029177,           0.0017427,           0.0017427,            0.083843
                   9,             0.06464,            0.015659,           0.0043288,             0.76239,             0.86625,             0.83475,             0.31031,            0.060848,           0.0083302,           0.0027925,           0.0019309,           0.0019309,            0.082031
                  10,            0.062142,            0.015654,           0.0039934,             0.87521,             0.76667,             0.87055,             0.42466,            0.052842,           0.0075945,           0.0028205,           0.0021177,           0.0021177,            0.080218
                  11,             0.05721,            0.014855,           0.0035537,             0.72244,             0.94997,             0.85785,             0.33466,             0.04122,           0.0078989,           0.0023617,           0.0023032,           0.0023032,            0.078403
                  12,            0.055706,            0.014977,           0.0033773,             0.62039,              0.7833,             0.78779,             0.33675,            0.051451,           0.0070579,           0.0021163,           0.0024874,           0.0024874,            0.076587
                  13,            0.054612,             0.01418,           0.0034726,             0.70855,             0.89788,             0.87893,             0.52619,            0.046466,           0.0074459,           0.0020093,           0.0026703,           0.0026703,             0.07477
                  14,             0.05221,            0.014232,           0.0034304,             0.96656,              0.6495,              0.8764,             0.36187,            0.048443,           0.0063277,           0.0019663,           0.0028519,           0.0028519,            0.072952
                  15,            0.050727,            0.013721,           0.0030999,             0.92463,             0.88199,              0.9187,             0.49922,            0.040901,           0.0059834,            0.001724,           0.0030321,           0.0030321,            0.071132
                  16,            0.049249,            0.013091,           0.0030506,             0.62447,                0.95,             0.84429,             0.37921,            0.047049,           0.0062593,           0.0016551,            0.003211,            0.003211,            0.069311
                  17,            0.048735,             0.01249,             0.00321,              0.9758,                   1,               0.995,             0.64972,            0.032255,           0.0055582,           0.0017877,           0.0033886,           0.0033886,            0.067489
                  18,            0.046608,            0.012106,           0.0026915,             0.99693,              0.7886,             0.93439,             0.57124,            0.042385,           0.0053351,           0.0016737,           0.0035649,           0.0035649,            0.065665
                  19,            0.045482,             0.01177,           0.0025775,              0.9564,                0.95,             0.99045,             0.39899,            0.042088,           0.0050718,            0.001543,           0.0037398,           0.0037398,             0.06384
                  20,            0.044975,            0.011857,           0.0028483,             0.94063,                0.95,             0.96846,             0.65032,            0.040747,           0.0051653,           0.0017105,           0.0039135,           0.0039135,            0.062013
                  21,            0.043801,            0.011063,           0.0025115,             0.93586,             0.89999,             0.94146,             0.54718,            0.034276,           0.0045729,           0.0015119,           0.0040858,           0.0040858,            0.060186
                  22,            0.042382,            0.011409,           0.0025824,             0.98657,                0.95,             0.99045,             0.64583,            0.038769,           0.0045969,           0.0015063,           0.0042568,           0.0042568,            0.058357
                  23,            0.042655,            0.011231,           0.0024202,              0.8057,                0.85,             0.96135,             0.60837,            0.031424,           0.0042741,           0.0014797,           0.0044264,           0.0044264,            0.056526
                  24,            0.040927,            0.010684,           0.0022598,               0.931,             0.99803,             0.98591,               0.633,            0.028943,           0.0041393,           0.0014006,           0.0045948,           0.0045948,            0.054695
                  25,            0.045485,             0.01107,           0.0027378,              0.8243,             0.89937,             0.90885,             0.52947,            0.037847,           0.0046424,           0.0020259,           0.0047618,           0.0047618,            0.052862
                  26,            0.045488,            0.011127,           0.0030854,             0.62371,                0.95,             0.77102,             0.30984,            0.039115,           0.0041392,           0.0017857,           0.0049275,           0.0049275,            0.051028
                  27,            0.044877,            0.010509,            0.002445,             0.92569,             0.96708,             0.98357,             0.61848,            0.029725,           0.0042523,           0.0017289,           0.0050919,           0.0050919,            0.049192
                  28,            0.041457,            0.010691,           0.0025906,             0.97606,             0.94956,             0.99045,             0.64481,            0.029441,            0.004083,           0.0019384,            0.005255,            0.005255,            0.047355
                  29,            0.041434,            0.010289,           0.0023552,             0.92417,             0.94999,             0.96773,             0.59756,            0.029551,            0.004131,           0.0018143,           0.0054168,           0.0054168,            0.045517
                  30,            0.039806,            0.010272,           0.0023731,             0.81737,             0.99995,             0.97143,             0.63218,            0.026837,           0.0037371,           0.0014655,           0.0055772,           0.0055772,            0.043677
                  31,            0.039946,            0.009764,           0.0018441,             0.88087,             0.99957,               0.995,               0.717,            0.034441,           0.0036618,           0.0015004,           0.0057363,           0.0057363,            0.041836
