               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1184,            0.027913,            0.028546,           0.0024753,              0.1875,           0.0011157,          0.00016457,             0.11382,            0.019679,            0.024926,             0.00019,             0.00019,             0.09829
                   1,             0.10286,            0.025794,             0.02171,            0.028744,              0.0625,           0.0044132,           0.0016283,            0.087936,            0.017777,            0.017189,          0.00038871,          0.00038871,            0.096489
                   2,            0.091884,            0.025079,            0.014808,             0.12536,              0.3125,            0.094352,            0.019696,            0.073671,            0.016841,           0.0092977,          0.00058611,          0.00058611,            0.094686
                   3,            0.079741,            0.024501,           0.0093332,             0.40906,              0.4375,             0.27954,            0.068714,            0.062447,            0.015495,           0.0051707,          0.00078218,          0.00078218,            0.092882
                   4,            0.067147,            0.023734,           0.0056038,             0.69945,             0.43647,             0.49679,             0.21438,            0.052558,            0.013875,           0.0026443,          0.00097693,          0.00097693,            0.091077
                   5,            0.060861,            0.022398,           0.0032841,             0.49452,                0.75,             0.61726,             0.28823,            0.049142,            0.012097,            0.001628,           0.0011704,           0.0011704,             0.08927
                   6,            0.057898,             0.01925,           0.0022759,                   1,             0.81196,             0.90043,             0.47397,            0.044078,            0.010771,           0.0013184,           0.0013625,           0.0013625,            0.087462
                   7,            0.056239,            0.016816,            0.001802,                   1,             0.87277,             0.95429,             0.47373,            0.040879,           0.0088721,           0.0011698,           0.0015533,           0.0015533,            0.085653
                   8,            0.064049,            0.015517,              0.0016,             0.64466,              0.6875,             0.69823,              0.2988,            0.057671,           0.0080864,           0.0014647,           0.0017427,           0.0017427,            0.083843
                   9,            0.062547,            0.015816,           0.0019154,             0.66434,               0.625,             0.67571,             0.30184,            0.061874,           0.0087236,           0.0014633,           0.0019309,           0.0019309,            0.082031
                  10,            0.063937,            0.015414,           0.0018906,             0.90733,               0.625,             0.76006,             0.26905,            0.057216,           0.0070304,           0.0014978,           0.0021177,           0.0021177,            0.080218
                  11,            0.055185,            0.015311,           0.0018657,              0.6082,             0.87326,             0.76702,             0.41983,            0.049872,           0.0068755,           0.0013559,           0.0023032,           0.0023032,            0.078403
                  12,            0.053649,            0.015488,           0.0018343,             0.62492,              0.9375,             0.82769,             0.32549,            0.044889,           0.0065851,           0.0012708,           0.0024874,           0.0024874,            0.076587
                  13,            0.051003,            0.014771,           0.0018232,             0.68261,              0.8125,             0.79588,             0.36171,            0.048586,           0.0061213,           0.0013053,           0.0026703,           0.0026703,             0.07477
                  14,             0.05148,            0.014612,           0.0017338,             0.82278,               0.875,             0.92977,              0.5685,             0.04044,           0.0060369,           0.0013443,           0.0028519,           0.0028519,            0.072952
                  15,            0.047899,            0.013858,           0.0016891,             0.81245,             0.81227,             0.80465,             0.53514,            0.039332,           0.0055753,           0.0011853,           0.0030321,           0.0030321,            0.071132
                  16,            0.047156,            0.013413,           0.0016428,             0.74964,              0.9375,             0.89472,             0.54476,            0.040816,           0.0052735,            0.001259,            0.003211,            0.003211,            0.069311
                  17,            0.046802,            0.012656,           0.0016286,             0.92854,             0.81211,             0.92528,             0.50019,            0.038881,           0.0049929,           0.0010917,           0.0033886,           0.0033886,            0.067489
                  18,            0.045315,            0.012469,           0.0015525,             0.91919,                0.75,             0.90006,             0.47645,            0.037698,           0.0049799,           0.0012704,           0.0035649,           0.0035649,            0.065665
                  19,            0.045131,            0.012118,           0.0016059,                   1,             0.81215,             0.96114,             0.62641,            0.033301,           0.0047857,           0.0012198,           0.0037398,           0.0037398,             0.06384
                  20,            0.042718,            0.011901,           0.0015278,             0.93748,             0.93723,             0.96615,             0.73874,            0.030823,           0.0049544,           0.0012655,           0.0039135,           0.0039135,            0.062013
                  21,            0.042262,             0.01117,           0.0014537,             0.99857,              0.8125,              0.9585,             0.61908,            0.032202,           0.0042868,           0.0011779,           0.0040858,           0.0040858,            0.060186
                  22,            0.041797,            0.011425,           0.0014708,             0.88234,              0.9375,             0.95699,             0.52529,            0.030191,           0.0043871,           0.0011806,           0.0042568,           0.0042568,            0.058357
                  23,             0.04101,            0.011266,           0.0014542,             0.94117,             0.99989,             0.97676,             0.71399,            0.032188,           0.0041505,           0.0011647,           0.0044264,           0.0044264,            0.056526
                  24,            0.039012,            0.010636,           0.0013883,             0.72721,             0.99969,             0.82911,             0.58719,            0.036788,           0.0040237,           0.0011355,           0.0045948,           0.0045948,            0.054695
                  25,            0.046234,            0.011083,           0.0016484,             0.92138,                0.75,             0.88546,             0.64882,            0.036172,           0.0040679,           0.0013581,           0.0047618,           0.0047618,            0.052862
                  26,            0.043938,            0.011321,            0.001747,             0.88837,                   1,             0.97646,             0.66431,            0.028384,           0.0041097,           0.0014829,           0.0049275,           0.0049275,            0.051028
                  27,            0.040912,            0.010866,           0.0017743,                   1,             0.99983,               0.995,             0.71154,            0.031056,           0.0038802,            0.001261,           0.0050919,           0.0050919,            0.049192
                  28,            0.040745,             0.01043,           0.0015807,             0.99998,                   1,               0.995,             0.68781,            0.025274,            0.004051,           0.0013225,            0.005255,            0.005255,            0.047355
                  29,            0.040328,            0.010545,           0.0016043,             0.88171,              0.9375,             0.91611,             0.63477,            0.034812,           0.0038269,            0.001353,           0.0054168,           0.0054168,            0.045517
                  30,            0.037625,            0.010351,           0.0016261,             0.83328,             0.93715,             0.84364,             0.54059,            0.027488,           0.0037686,           0.0011935,           0.0055772,           0.0055772,            0.043677
                  31,            0.041004,            0.010072,            0.001537,             0.94116,             0.99969,             0.99147,             0.52961,            0.033783,           0.0037286,           0.0012354,           0.0057363,           0.0057363,            0.041836
                  32,            0.040386,            0.010098,           0.0015976,             0.88887,                   1,             0.94958,             0.56275,            0.031284,           0.0037499,           0.0011896,           0.0058941,           0.0058941,            0.039994
                  33,             0.04015,           0.0098062,           0.0015505,             0.99966,                   1,               0.995,             0.61022,            0.032089,           0.0033804,           0.0011382,           0.0060506,           0.0060506,            0.038151
                  34,            0.037958,           0.0095431,           0.0014839,                   1,             0.99997,               0.995,             0.71453,            0.026801,           0.0033381,            0.001055,           0.0062057,           0.0062057,            0.036306
                  35,            0.035756,           0.0095607,           0.0014115,              0.9999,                   1,               0.995,             0.61378,            0.029449,           0.0032788,           0.0010845,           0.0063596,           0.0063596,             0.03446
                  36,            0.037878,           0.0089718,            0.001429,             0.88874,                   1,             0.95556,             0.67839,            0.026853,           0.0033066,           0.0010791,           0.0065121,           0.0065121,            0.032612
                  37,            0.036215,            0.008851,           0.0013614,             0.99999,                   1,               0.995,             0.77285,            0.027313,           0.0031786,           0.0011023,           0.0066633,           0.0066633,            0.030763
                  38,            0.036019,           0.0087025,           0.0013443,             0.99988,                   1,               0.995,             0.79477,            0.024333,           0.0034013,           0.0010804,           0.0068131,           0.0068131,            0.028913
                  39,            0.034771,           0.0086543,           0.0013635,             0.88577,                   1,             0.96896,             0.66898,            0.027733,           0.0033307,           0.0010604,           0.0069617,           0.0069617,            0.027062
                  40,            0.033905,           0.0089993,           0.0013316,             0.94106,                   1,             0.98794,             0.74654,            0.021867,           0.0031257,          0.00099394,           0.0071089,           0.0071089,            0.025209
                  41,             0.03525,           0.0088558,           0.0013306,             0.99991,                   1,               0.995,             0.62837,            0.035282,           0.0031768,           0.0011325,           0.0072548,           0.0072548,            0.023355
                  42,            0.037473,           0.0089012,           0.0013752,             0.88888,             0.99994,             0.98083,             0.69868,            0.030237,           0.0030359,           0.0010389,           0.0073994,           0.0073994,            0.021499
                  43,            0.036395,           0.0086836,           0.0014117,             0.99998,                   1,               0.995,             0.69086,            0.029046,           0.0033502,           0.0011347,           0.0075427,           0.0075427,            0.019643
